solute,E_Fe,E_FeVac,E_FeM,E_FeMM_1nn,E_FeMM_2nn,E_FeMM_3nn,E_FeMM_4nn,E_FeMM_5nnE_FeMVac_1nn,E_FeMVac_2nn,E_FeMVac_3nn,E_FeMVac_4nn,E_FeMVac_5nn
Tc,-1070.814208984375,-1061.156494140625,-1072.665771484375,-1074.390869140625,-1074.2083740234375,-1074.6416015625,-1074.658447265625,-1074.938232421875,-1063.041015625,-1062.7950439453125,-1062.942626953125,-1063.006103515625,-1063.0860595703125
Ru,-1070.814208984375,-1061.156494140625,-1071.8521728515625,-1072.6463623046875,-1072.531005859375,-1072.9375,-1073.031982421875,-1073.3321533203125,-1062.2662353515625,-1062.09423828125,-1062.16845703125,-1062.1832275390625,-1062.222900390625
Rh,-1070.814208984375,-1061.156494140625,-1070.491455078125,-1070.17724609375,-1070.092529296875,-1070.17626953125,-1070.20703125,-1070.423828125,-1060.8653564453125,-1060.7987060546875,-1060.8350830078125,-1060.83251953125,-1060.8638916015625
Pd,-1070.814208984375,-1061.156494140625,-1067.93310546875,-1065.281982421875,-1065.075927734375,-1065.13427734375,-1065.130126953125,-1065.305419921875,-1058.4256591796875,-1058.30908203125,-1058.2864990234375,-1058.304931640625,-1058.30126953125
Ag,-1070.814208984375,-1061.156494140625,-1064.2430419921875,-1057.970703125,-1057.81201171875,-1057.728759765625,-1057.72216796875,-1057.736083984375,-1054.913330078125,-1054.74560546875,-1054.62353515625,-1054.5953369140625,-1054.588134765625
Hf,-1070.814208984375,-1061.156494140625,-1072.410400390625,-1074.19775390625,-1074.34814453125,-1074.47265625,-1074.172607421875,-1073.8829345703125,-1063.550048828125,-1063.208740234375,-1062.679443359375,-1062.7052001953125,-1063.550048828125
Ta,-1070.814208984375,-1061.156494140625,-1074.383544921875,-1078.053955078125,-1078.1644287109375,-1078.31005859375,-1078.14208984375,-1077.89013671875,-1065.06982421875,-1064.64599609375,-1064.66455078125,-1064.69970703125,-1064.77880859375
W,-1070.814208984375,-1061.156494140625,-1074.880126953125,-1078.771484375,-1078.845703125,-1078.976318359375,-1079.07080078125,-1079.03369140625,-1065.3173828125,-1065.1201171875,-1065.190673828125,-1065.2197265625,-1065.310791015625
Re,-1070.814208984375,-1061.156494140625,-1075.0625,-1079.3114013671875,-1079.04443359375,-1079.3668212890625,-1079.4232177734375,-1079.543701171875,-1065.4412841796875,-1065.2813720703125,-1065.3516845703125,-1065.407470703125,-1065.4560546875
Os,-1070.814208984375,-1061.156494140625,-1073.53662109375,-1075.9599609375,-1075.835205078125,-1076.3582763671875,-1076.4698486328125,-1076.780029296875,-1063.920166015625,-1063.7506103515625,-1063.84912109375,-1063.8726806640625,-1063.9150390625
Ir,-1070.814208984375,-1061.156494140625,-1072.01025390625,-1073.18408203125,-1073.1136474609375,-1073.2493896484375,-1073.27734375,-1073.556640625,-1062.4381103515625,-1062.363525390625,-1062.36083984375,-1062.34814453125,-1062.39453125
Pt,-1070.814208984375,-1061.156494140625,-1069.1829833984375,-1067.7083740234375,-1067.462646484375,-1067.722412109375,-1067.7149658203125,-1067.931884765625,-1059.66796875,-1059.588134765625,-1059.56103515625,-1059.553466796875,-1059.552001953125
Au,-1070.814208984375,-1061.156494140625,-1065.288818359375,-1060.13720703125,-1059.91015625,-1059.9327392578125,-1059.893310546875,-1059.908203125,-1055.991943359375,-1055.7850341796875,-1055.671875,-1055.6634521484375,-1055.6572265625
