DFT,model,pred,delta,abs_error
0.246,eSEN-omat,0.16540527,-0.08059473,0.08059473
0.079,eSEN-omat,0.00244141,-0.07655859,0.07655859
-0.277,eSEN-omat,-0.256958,0.020042000000000004,0.020042000000000004
-0.381,eSEN-omat,-0.3310547,0.049945300000000026,0.049945300000000026
0.02,eSEN-omat,0.01098633,-0.00901367,0.00901367
-0.246,eSEN-omat,-0.2739262,-0.027926200000000012,0.027926200000000012
-0.233,eSEN-omat,-0.255127,-0.02212699999999998,0.02212699999999998
-0.043,DPA-mp,-0.0395155,0.0034844999999999945,0.0034844999999999945
-0.239,DPA-mp,0.03647029,0.27547029,0.27547029
0.246,DPA-mp,0.21519375,-0.030806250000000007,0.030806250000000007
0.079,DPA-mp,0.04670179,-0.03229821,0.03229821
-0.277,DPA-mp,-0.1849592,0.09204080000000003,0.09204080000000003
-0.381,DPA-mp,-0.3040898,0.07691019999999998,0.07691019999999998
0.02,DPA-mp,0.02071226,0.0007122599999999993,0.0007122599999999993
-0.246,DPA-mp,-0.2980132,-0.05201319999999998,0.05201319999999998
-0.233,DPA-mp,-0.1966083,0.0363917,0.0363917
-0.043,DPA-omat,-0.0289733,0.014026699999999996,0.014026699999999996
-0.239,DPA-omat,-0.0313927,0.2076073,0.2076073
0.246,DPA-omat,0.20194161,-0.04405839,0.04405839
0.079,DPA-omat,0.05973661,-0.01926339,0.01926339
-0.277,DPA-omat,-0.1883621,0.08863790000000002,0.08863790000000002
-0.381,DPA-omat,-0.3082463,0.07275370000000003,0.07275370000000003
0.02,DPA-omat,0.05007863,0.03007863,0.03007863
-0.246,DPA-omat,-0.2705955,-0.024595499999999992,0.024595499999999992
-0.233,DPA-omat,-0.1698432,0.06315680000000001,0.06315680000000001
-0.043,UMA-omat,-0.0360718,0.0069281999999999955,0.0069281999999999955
-0.239,UMA-omat,-0.2226868,0.0163132,0.0163132
0.246,UMA-omat,0.20195007,-0.04404992999999999,0.04404992999999999
0.079,UMA-omat,0.02627563,-0.05272437,0.05272437
-0.277,UMA-omat,-0.2404175,0.03658250000000002,0.03658250000000002
-0.381,UMA-omat,-0.3302002,0.050799800000000006,0.050799800000000006
0.02,UMA-omat,0.02926636,0.009266360000000001,0.009266360000000001
-0.246,UMA-omat,-0.2479553,-0.001955299999999993,0.001955299999999993
-0.233,UMA-omat,-0.2172241,0.01577590000000001,0.01577590000000001
-0.043,omni-mpa,-0.0576172,-0.014617200000000004,0.014617200000000004
-0.239,omni-mpa,-0.0950928,0.14390719999999999,0.14390719999999999
0.246,omni-mpa,0.11938477,-0.12661523,0.12661523
0.079,omni-mpa,0.06408691,-0.014913090000000004,0.014913090000000004
-0.277,omni-mpa,-0.1147461,0.1622539,0.1622539
-0.381,omni-mpa,-0.30896,0.07203999999999999,0.07203999999999999
0.02,omni-mpa,0.02124023,0.0012402299999999984,0.0012402299999999984
-0.246,omni-mpa,-0.2299805,0.016019499999999992,0.016019499999999992
-0.233,omni-mpa,-0.2070313,0.02596870000000001,0.02596870000000001
-0.043,omni-omat,-0.0559082,-0.012908200000000002,0.012908200000000002
-0.239,omni-omat,-0.1031494,0.1358506,0.1358506
0.246,omni-omat,0.14416504,-0.10183496,0.10183496
0.079,omni-omat,0.06555176,-0.01344824,0.01344824
-0.277,omni-omat,-0.1124268,0.16457320000000003,0.16457320000000003
-0.381,omni-omat,-0.3181152,0.06288480000000002,0.06288480000000002
0.02,omni-omat,0.02868652,0.00868652,0.00868652
-0.246,omni-omat,-0.2548828,-0.008882800000000024,0.008882800000000024
-0.233,omni-omat,-0.2368164,-0.0038163999999999976,0.0038163999999999976
-0.043,omni-matpes_pbe,-0.0603027,-0.017302700000000004,0.017302700000000004
-0.239,omni-matpes_pbe,-0.0186768,0.2203232,0.2203232
0.246,omni-matpes_pbe,0.14465332,-0.10134668,0.10134668
0.079,omni-matpes_pbe,0.07983398,0.0008339799999999981,0.0008339799999999981
-0.277,omni-matpes_pbe,-0.0437012,0.23329880000000003,0.23329880000000003
-0.381,omni-matpes_pbe,-0.2822266,0.09877340000000001,0.09877340000000001
0.02,omni-matpes_pbe,0.03564453,0.01564453,0.01564453
-0.246,omni-matpes_pbe,-0.255127,-0.009126999999999996,0.009126999999999996
-0.233,omni-matpes_pbe,-0.2010498,0.03195020000000001,0.03195020000000001
