mlip,delta
nequip-oam,0.1038932783170821
ompa-mpa,0.0069140624999999
ompa-omat24,0.0559863281249999
mace-mpa,0.2998903214428718
mace-omat,0.0641364134650483
orb-mpa,0.3732470703124999
orb-omat,0.2111376953124999
esen-oam,0.1112841796874999
esen-omat,0.0426806640624999
dpa-mp,0.4639608469605445
dpa-omat,0.4204616677761077
uma-omat,0.2063616943359374
omni-mpa,0.1231249999999999
omni-omat24,0.0240039062499999
omni-matpes_pbe,0.0208300781249999
grace-oam,0.335508467311838
grace-omat,0.3143396591121199
nequip-oam,0.1738884807445355
ompa-mpa,0.2100292968749999
ompa-omat24,0.2532421874999999
mace-mpa,-0.4920382177065858
mace-omat,0.5273144917065837
orb-mpa,-0.0621875
orb-omat,-0.123466796875
esen-oam,-0.1022265625
esen-omat,-0.070244140625
dpa-mp,-0.0925576758384704
dpa-omat,0.2551712322235107
uma-omat,0.14052551269554
omni-mpa,-0.1023486328125
omni-omat24,0.2359082031249999
omni-matpes_pbe,0.3537060546874999
grace-oam,-0.19273316032406
grace-omat,-0.124211974501186
nequip-oam,-0.1385730982281712
ompa-mpa,-0.13427734375
ompa-omat24,-0.04931640625
mace-mpa,-0.5687577788551152
mace-omat,0.2773234264914208
orb-mpa,-0.24267578125
orb-omat,-0.0057373046875
esen-oam,-0.1849365234375
esen-omat,-0.18603515625
dpa-mp,-0.2674664333462715
dpa-omat,0.1061002314090728
uma-omat,0.05073547363304
omni-mpa,-0.4610595703125
omni-omat24,0.0208740234375
omni-matpes_pbe,0.0921630859375
grace-oam,-0.1548158511341171
grace-omat,-0.1413279223459083
nequip-oam,-0.2020371835915284
