mlip,delta
nequip-oam,0.1038932783170821
ompa-mpa,0.0069140624999999
ompa-omat24,0.0559863281249999
mace-mpa,0.2998903214428718
mace-omat,0.0641364134650483
orb-mpa,0.3732470703124999
orb-omat,0.2111376953124999
esen-oam,0.1112841796874999
esen-omat,0.0426806640624999
dpa-mp,0.4639608469605445
dpa-omat,0.4204616677761077
uma-omat,0.2063616943359374
omni-mpa,0.1231249999999999
omni-omat24,0.0240039062499999
omni-matpes_pbe,0.0208300781249999
grace-oam,0.335508467311838
grace-omat,0.3143396591121199
nequip-oam,0.1738884807445355
ompa-mpa,0.2100292968749999
ompa-omat24,0.2532421874999999
mace-mpa,-0.4920382177065858
mace-omat,0.5273144917065837
orb-mpa,-0.0621875
orb-omat,-0.123466796875
esen-oam,-0.1022265625
esen-omat,-0.070244140625
dpa-mp,-0.0925576758384704
dpa-omat,0.2551712322235107
uma-omat,0.14052551269554
omni-mpa,-0.1023486328125
omni-omat24,0.2359082031249999
omni-matpes_pbe,0.3537060546874999
grace-oam,-0.19273316032406
grace-omat,-0.124211974501186
nequip-oam,-0.1385730982281712
ompa-mpa,-0.13427734375
ompa-omat24,-0.04931640625
mace-mpa,-0.5687577788551152
mace-omat,0.2773234264914208
orb-mpa,-0.24267578125
orb-omat,-0.0057373046875
esen-oam,-0.1849365234375
esen-omat,-0.18603515625
dpa-mp,-0.2674664333462715
dpa-omat,0.1061002314090728
uma-omat,0.05073547363304
omni-mpa,-0.4610595703125
omni-omat24,0.0208740234375
omni-matpes_pbe,0.0921630859375
grace-oam,-0.1548158511341171
grace-omat,-0.1413279223459083
nequip-oam,-0.2020371835915284
ompa-mpa,-0.0079033203125
ompa-omat24,-0.0113212890625
mace-mpa,0.0395926998215764
mace-omat,0.0364461834457124
orb-mpa,-0.03854296875
orb-omat,-0.0015556640625
esen-oam,-0.0215751953125
esen-omat,-0.005095703125
dpa-mp,0.0041687660217285
dpa-omat,0.0143678359985351
uma-omat,0.0067451171872726
omni-mpa,-0.0171806640625
omni-omat24,-0.0130302734375
omni-matpes_pbe,-0.016814453125
grace-oam,-0.0088672633497772
grace-omat,-0.0062079407877099
nequip-oam,-0.0236525423862367
ompa-mpa,0.0983749999999999
ompa-omat24,0.0927597656249999
mace-mpa,0.2413610329897109
mace-omat,0.2367604334062562
orb-mpa,-0.0186904296875
orb-omat,0.0640732421874999
esen-oam,-0.1060927734375
esen-omat,-0.0188125
dpa-mp,0.2757990732192993
dpa-omat,0.2070898189544678
uma-omat,0.0165878906247727
omni-mpa,0.1037460937499999
omni-omat24,0.0879990234374999
omni-matpes_pbe,0.193345703125
grace-oam,0.1892852700923085
grace-omat,0.1795416683116528
nequip-oam,0.0182380193484404
ompa-mpa,-0.1122109375
ompa-omat24,-0.1120888671875
mace-mpa,-0.1200463891813305
mace-omat,-0.039401787730545
orb-mpa,-0.1141640625
orb-omat,-0.08242578125
esen-oam,-0.08730859375
esen-omat,-0.0805947265625
dpa-mp,-0.0302564582824707
dpa-omat,-0.0438270053863525
uma-omat,-0.0441719970705399
omni-mpa,-0.1282021484375
omni-omat24,-0.096341796875
omni-matpes_pbe,-0.0868203125
grace-oam,-0.1030314134408363
grace-omat,-0.1078595447364897
nequip-oam,-0.1290871091631706
ompa-mpa,-0.0022177734375
ompa-omat24,-0.001607421875
mace-mpa,-0.025885731381144
mace-omat,-0.0779161195805992
orb-mpa,-0.1106162109375
orb-omat,-0.0722861328125
esen-oam,-0.0901083984375
esen-omat,-0.0761923828125
dpa-mp,-0.0316321887969971
dpa-omat,-0.0196520128250122
uma-omat,-0.052663330078125
omni-mpa,-0.006001953125
omni-omat24,-0.005513671875
omni-matpes_pbe,0.012552734375
grace-oam,-0.044331120773044
grace-omat,-0.0419887914968549
nequip-oam,0.0064469891837651
ompa-mpa,0.091697265625
ompa-omat24,0.086326171875
mace-mpa,0.1425755963236516
mace-omat,0.1650840667757184
orb-mpa,0.00991015625
orb-omat,0.141013671875
esen-oam,-0.0276874999999999
esen-omat,0.019919921875
dpa-mp,0.0919845600128174
dpa-omat,0.0885828037261963
uma-omat,0.0371776123051423
omni-mpa,0.1350322265625
omni-omat24,0.1335673828125
omni-matpes_pbe,0.203513671875
grace-oam,0.0894088357033088
grace-omat,0.0931010544677083
nequip-oam,0.0604042351769313
ompa-mpa,0.02308984375
ompa-omat24,0.02504296875
mace-mpa,0.0621081574037417
mace-omat,0.1800925606713973
orb-mpa,0.0127138671875
orb-omat,0.05433984375
esen-oam,-0.0152402343749999
esen-omat,0.0500673828125
dpa-mp,0.0773521242141724
dpa-omat,0.0721848783493042
uma-omat,0.0502657470705398
omni-mpa,0.058978515625
omni-omat24,0.057025390625
omni-matpes_pbe,0.081439453125
grace-oam,-0.0226102014631524
grace-omat,-0.0334254568273026
nequip-oam,0.0106215766760724
ompa-mpa,0.01173828125
ompa-omat24,0.013203125
mace-mpa,0.0564359777390381
mace-omat,0.1016264705683443
orb-mpa,0.0172314453125
orb-omat,0.0446972656249999
esen-oam,-0.042216796875
esen-omat,-0.00876953125
dpa-mp,0.0012232470512389
dpa-omat,0.0301960515975952
uma-omat,0.00879333496071
omni-mpa,0.00783203125
omni-omat24,0.022724609375
omni-matpes_pbe,0.0340771484374999
grace-oam,0.0162838410562744
grace-omat,0.0251653497611914
nequip-oam,0.0302481628836903
ompa-mpa,-0.08749609375
ompa-omat24,-0.087740234375
mace-mpa,-0.2238024243648433
mace-omat,-0.0033607563078512
orb-mpa,-0.1034873046875
orb-omat,-0.0675986328125
esen-oam,-0.053560546875
esen-omat,-0.0282919921875
dpa-mp,-0.0516322174072265
dpa-omat,-0.0241937183737754
uma-omat,-0.0025809326174147
omni-mpa,-0.01620703125
omni-omat24,-0.0362265625
omni-matpes_pbe,-0.042330078125
grace-oam,-0.0423823270944958
grace-omat,-0.0530557799525959
nequip-oam,-0.0682440443543819
ompa-mpa,-0.0459306640624999
ompa-omat24,-0.0596025390624999
mace-mpa,0.0899515159545063
mace-omat,0.1069864199885688
orb-mpa,-0.0779130859374999
orb-omat,-0.0408037109374999
esen-oam,-0.0599687499999999
esen-omat,-0.0220048828124999
dpa-mp,0.0368015365600586
dpa-omat,0.0632252292633057
uma-omat,0.0164777832028977
omni-mpa,-0.0034501953124999
omni-omat24,-0.0416582031249999
omni-matpes_pbe,0.0002119140625
grace-oam,-0.0410327670157966
grace-omat,-0.047151811180758
nequip-oam,-0.0100433791612357
