dft,7net-0,7net-l3i5,7net-omat,ompa-mpa,ompa-omat24,omni-mpa,omni-omat24,orb_mpa,orb_omat,dpa-mp,dpa-omat,esen_omat,ompa-mpa_delta,ompa-omat24_delta,omni-mpa_delta,omni-omat24_delta,orb_mpa_delta,orb_omat_delta,dpa-mp_delta,dpa-omat_delta,esen_omat_delta
-0.09,0.02722168,0.0411377,0.00439453,0.15234375,0.16381836,0.12072754,0.1439209,-0.1485596,0.09790039,0.04740971,0.12781888,0.04760742,0.24234375,0.25381836,0.21072754,0.2339209,-0.05855960000000002,0.18790039,0.13740971,0.21781888,0.13760741999999998
-0.65,-0.5356445,-0.4841309,-0.5639648,-0.6262207,-0.5939941,-0.5778809,-0.5688477,-0.7938232,-0.5759277,-0.611612,-0.5323518,-0.7392578,0.02377930000000006,0.05600590000000005,0.07211909999999999,0.08115230000000007,-0.14382319999999993,0.07407229999999998,0.03838799999999998,0.11764819999999998,-0.08925779999999994
-1.67,-0.9069824,-1.4223633,-1.6230469,-1.6635742,-1.6153564,-1.5349121,-1.5789795,-1.8227539,-1.4593506,-1.206219,-1.250356,-1.6273193,0.006425799999999926,0.0546435999999999,0.13508790000000004,0.09102049999999995,-0.1527539,0.21064939999999988,0.463781,0.4196439999999999,0.042680700000000016
1.07,0.35656738,-0.4833984,1.15490723,1.27905273,1.31945801,0.99511719,0.99230957,0.95751953,0.94384766,0.9725765,1.32205474,0.98986816,0.20905273000000002,0.2494580099999999,-0.07488281000000008,-0.07769043000000009,-0.11248047000000005,-0.12615234000000008,-0.09742350000000011,0.25205473999999994,-0.08013184000000007
1.5,0.75427246,0.52416992,1.41259766,1.36437988,1.44628906,1.23596191,1.29968262,1.24841309,1.49133301,1.22736027,1.60263094,1.3034668,-0.13562012,-0.053710939999999985,-0.2640380899999999,-0.20031738,-0.2515869100000001,-0.008666990000000041,-0.2726397300000001,0.10263094000000006,-0.19653319999999996
-0.043,-0.1431885,-0.204834,-0.0341797,-0.0509033,-0.0550537,-0.0285645,-0.0297852,-0.081665,-0.0444336,-0.0394864,-0.0289651,-0.0483398,-0.007903300000000002,-0.0120537,0.014435499999999997,0.013214799999999995,-0.038665000000000005,-0.0014336000000000002,0.0035135999999999987,0.014034899999999996,-0.005339800000000006
-0.239,-0.095459,0.1583252,-0.0327148,-0.140625,-0.1467285,-0.0532227,-0.0620117,-0.2576904,-0.1744385,0.0365063,-0.0313982,-0.2579346,0.09837499999999999,0.09227149999999998,0.18577729999999998,0.1769883,-0.018690399999999996,0.0645615,0.2755063,0.2076018,-0.018934600000000024
0.246,-0.0043945,0.04199219,0.14160156,0.13378906,0.13342285,0.11315918,0.11206055,0.12890625,0.16381836,0.21524096,0.2019875,0.16564941,-0.11221094000000001,-0.11257714999999999,-0.13284082,-0.13393945000000002,-0.11709375,-0.08218164,-0.030759039999999988,-0.04401250000000001,-0.08035059
0.079,0.04760742,0.23962402,0.0534668,0.07678223,0.07751465,0.0682373,0.0715332,-0.0322266,0.00634766,0.04675424,0.05978012,0.00231934,-0.002217769999999994,-0.0014853499999999964,-0.0107627,-0.007466799999999996,-0.11122660000000001,-0.07265234,-0.03224576,-0.01921988,-0.07668066
-0.277,-0.1003418,-0.2714844,-0.1459961,-0.1849365,-0.190918,-0.1345215,-0.1334229,-0.2839355,-0.1361084,-0.184911,-0.1883905,-0.2567139,0.09206350000000002,0.08608200000000002,0.14247850000000004,0.1435771,-0.006935499999999983,0.14089160000000003,0.09208900000000003,0.08860950000000004,0.02028610000000003
-0.381,0.08508301,-0.3706055,-0.3198242,-0.3574219,-0.3562012,-0.3457031,-0.333252,-0.4041748,-0.3267822,-0.3040478,-0.3082404,-0.3311768,0.02357809999999999,0.02479880000000001,0.03529690000000002,0.04774800000000001,-0.023174799999999995,0.05421779999999998,0.07695220000000003,0.07275959999999998,0.04982320000000001
0.02,-0.1159668,-0.2875977,0.04760742,0.03173828,0.0324707,0.04284668,0.04406738,0.03674316,0.06518555,0.0207454,0.05011868,0.01098633,0.01173828,0.012470699999999998,0.022846679999999998,0.024067380000000003,0.016743159999999997,0.04518554999999999,0.0007454000000000002,0.03011868,-0.00901367
-0.246,0.12744141,-0.3651123,-0.3280029,-0.3331299,-0.3341064,-0.3221436,-0.3283691,-0.3709717,-0.3139648,-0.297966,-0.270583741,-0.2738037,-0.08712989999999998,-0.08810640000000003,-0.07614359999999998,-0.08236910000000003,-0.12497170000000002,-0.06796479999999999,-0.05196600000000001,-0.024583740999999992,-0.027803699999999987
-0.233,-0.0722656,0.00708008,-0.2043457,-0.2785645,-0.2927246,-0.2445068,-0.2490234,-0.3123779,-0.2728271,-0.1965861,-0.1698002,-0.255249,-0.04556449999999998,-0.05972459999999999,-0.011506799999999984,-0.016023399999999993,-0.07937789999999997,-0.039827099999999976,0.0364139,0.0631998,-0.02224899999999999
